name;title;purchase_date
Alfonso Faulkner;Chibi-Robo! Photo Finder;1983-10-25
Jonas Whitfield;Spider-Man 3;1947-10-17
Gage Gates;Shadow of the Tomb Raider;1934-10-08
Amity Ortega;Peter Jackson's King Kong: The Official Game of the Movie;1904-03-15
Phoebe Forbes;Mercenary Kings: Reloaded Edition;1923-11-30
Amy Harris;Atelier Dusk Trilogy Deluxe Pack;1944-07-19
Daphne Meyer;Celebrity Sports Showdown;1912-11-11
Forrest Ford;Tom Clancy's The Division 2: Warlords of New York;1903-04-06
Sheila Oliver;Conflict: Global Terror;1918-07-19
Gage Gates;Riverbond;1936-01-14
Clayton Roberts;Crookz: The Big Heist;1981-09-10
Simon Wilcox;Life is Strange 2: Episode 4 - Faith;1994-04-28
Ronan Chase;The First Templar;1988-01-09
Colleen Mcintyre;Wild Arms 4;1901-01-02
Gareth Edwards;Planetbase;1970-06-11
Cameron Johnson;Guns, Gore & Cannoli;2006-11-29
Priscilla Cervantes;SpongeBob Squigglepants;1962-03-21
Haley Duncan;Colin McRae Rally 2005;2008-01-22
Yuli Gibson;Blues and Bullets - Episode 1: The End of Peace;2015-02-10
Aretha Carpenter;BloodRayne;2008-08-25
Karen Small;The Impossible Game;1959-08-02
Jescie Schroeder;Nancy Drew: Danger on Deception Island;2000-01-19
Ulysses Hickman;Wheelman;1996-02-07
Griffith Weiss;Shin Megami Tensei: Digital Devil Saga;1965-03-11
Olivia Burris;Toren;1935-05-13
Igor Mcfarland;Road Not Taken;1995-03-08
Keane Valdez;Morphies Law;2006-07-16
Veda Melton;Sonic Mega Collection Plus;1902-09-01
Ulysses Lott;Moss;2002-06-22
Kirsten Cooper;Luminous Arc 2;1936-02-21
Glenna Benjamin;Regalia: Of Men and Monarchs - Royal Edition;1953-04-30
Mariam Harrison;Diddy Kong Racing;2004-09-27
Faith Bray;Moebius: Empire Rising;1942-12-13
Halee Jacobson;Sonic Mania;1902-02-17
Imogene Fuller;Cooking Mama: Cook Off;1948-06-01
Serena James;TMNT;1973-10-17
Naida Rosales;Harvest Moon: More Friends of Mineral Town;1915-06-15
Jack Watkins;Sekiro: Shadows Die Twice;1981-09-23
Brielle Dean;Fatal Fury: Battle Archives Volume 1;2022-04-17
Denton Holmes;LEGO Harry Potter: Years 5-7;1918-12-07
Brendan Vaughan;Football Manager 2013;1963-10-29
Samantha Kidd;Cuban Missile Crisis: The Aftermath;1940-01-07
Priscilla Hamilton;Mafia;1987-03-05
Malcolm Hoover;The Movies: Stunts & Effects;1956-11-07
Nyssa Greene;Toribash: Violence Perfected;1936-11-06
Ruth Workman;Skylanders Trap Team;1975-06-26
Bree Banks;Call of Duty: Black Ops III;1959-04-20
Hoyt Goodman;As Far As The Eye;1928-09-04
Kimberly Michael;UEFA Champions League 2006-2007;1934-07-12
Sybill Hampton;Celebrity Sports Showdown;1934-05-07
Malcolm Hoover;One Piece: Romance Dawn;1916-09-05
Portia Mcmillan;War Thunder;1958-09-04
Addison Valdez;Geist;1972-07-05
Macaulay Burch;Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien;1910-09-30
Adrienne Burnett;Shaun White Snowboarding: World Stage;1984-04-26
Jescie Schroeder;New Play Control! Mario Power Tennis;1992-01-17
Jescie Schroeder;Larry Ragland 4x4 Challenge;1955-05-21
Kirsten Bender;Rise of the Triad;1955-02-16
Aretha Carpenter;Rayman 3: Hoodlum Havoc;2012-08-28
Curran Aguilar;Air Conflicts: Vietnam;1934-01-06
Fuller Underwood;Judge Dredd: Dredd VS Death;1972-05-22
Ciara Berger;Greg Hastings' Tournament Paintball Max'd;1904-05-02
Carly Hartman;Pistol Whip;1922-04-12
Ariel Moran;Cross of the Dutchman;1981-08-09
Holmes Fulton;Splat Renegade Paintball;2001-11-18
Priscilla Hamilton;Wonder Boy: The Dragon's Trap;1903-03-07
Tatyana Johnson;Borderlands Legendary Collection;1985-12-10
Yuri Kinney;flower;1935-12-10
Kimberley Cannon;Metal Gear Solid: The Twin Snakes;2020-04-10
Neil Blackwell;Lost Cities;2002-03-03
Luke Strickland;Rhem 3: The Secret Library;2005-04-15
Neve Anderson;Torment: Tides of Numenera;1973-05-30
Faith Richard;Dave Mirra Freestyle BMX 2;1911-11-27
Hayden Hamilton;Transformers: Rise of the Dark Spark;1909-10-21
Isabelle Hopkins;Marvel vs. Capcom 3: Fate of Two Worlds;1916-12-14
Olivia Burris;Call of Duty: Modern Warfare;1993-10-14
Melissa Lopez;BioShock Infinite: Burial at Sea - Episode One;1979-05-26
Echo Curtis;AudioSurf;1928-06-22
Aline Kim;Dead Space 2;1948-02-07
Stephanie Pacheco;The Last Blade: Beyond the Destiny;1922-06-16
Charde Salinas;Gang Beasts;1971-06-17
Nathaniel Lowery;Help Will Come Tomorrow;1914-03-15
Marny Maddox;Rally Championship;2008-06-01
Brooke Manning;Legends of Wrestling II;1921-09-04
Lee Snow;Resident Evil 0: HD Remaster;1941-08-05
Priscilla Cervantes;Need for Speed: Most Wanted;2001-05-20
Rafael Stein;Bad North;1992-09-13
Roth Bradshaw;OlliOlli2: Welcome to Olliwood;1936-08-23
Fitzgerald Berg;Hitman - Episode 6: Hokkaido;1923-10-17
Fitzgerald Berg;Batman: Rise of Sin Tzu;1997-09-09
Dexter Downs;Gal*Gun 2;1906-04-20
Elton Mack;Quantum Conundrum;1996-07-23
Sheila Oliver;PQ: Practical Intelligence Quotient;1921-08-09
Bert Cantrell;Sonic Rivals;1958-05-02
Violet Gordon;Wii Music;1943-04-30
Clementine Singleton;Outcast: Second Contact;1966-11-06
Emerson Jackson;LEGO Harry Potter: Years 1-4;1974-10-12
Deirdre Benson;NCAA GameBreaker 2004;1932-09-05
Dorian Gaines;Spy Hunter;2007-06-28
Leslie Nicholson;Magic Duels: Origins;1949-12-20
Sierra Guerra;Lunar Knights;1993-04-09
Jeanette Hodge;Dr. Muto;1939-06-21
Fulton Oneal;Guilty Gear XX Accent Core;1942-12-03
Bruno Workman;Puzzle Kingdoms;1922-05-11
Giselle Bullock;Mutant Mudds;1925-11-06
Yuri Kinney;Army Men: Air Attack 2;1984-07-12
Keane Valdez;Tron 2.0: Killer App;1992-03-24
Neville Baxter;Override: Mech City Brawl;2008-07-03
Aretha Carpenter;Just Cause 2;1943-04-17
Kirsten Bender;Harry Potter and the Sorcerer's Stone;1977-11-26
Sean Collins;Pro Evolution Soccer 2012;2000-08-03
Elmo Key;Full Metal Furies;1929-12-17
James Irwin;Assetto Corsa Competizione;2020-08-02
Uta Hodge;VA-11 Hall-A: Cyberpunk Bartender Action;2008-10-02
Ralph Patton;Elliot Quest;1996-09-26
Amaya Richardson;Alpha Black Zero: Intrepid Protocol;1978-05-03
Karen Small;Need for Speed ProStreet;1941-07-26
Thor Meadows;Persona 4 Arena;1937-07-26
Yael Livingston;Patapon;1951-10-04
Hu Mason;Tortuga - Two Treasures;2003-06-30
Thor Meadows;Toukiden: Kiwami;1950-11-27
Andrew Bryan;The Three Musketeers: One for All!;1930-02-13
Fitzgerald Berg;Alien Breed 3: Descent;1942-03-03
Olivia Rocha;SOCOM: U.S. Navy SEALs Tactical Strike;1991-03-17
Rosalyn Russell;NASCAR Heat 5;1926-11-13
Ocean Campbell;Valley;2005-12-04
Upton Marks;NBA 08;1946-11-12
Megan Rosales;Bloodforge;1999-06-21
Malcolm Hoover;Rhythm Heaven Fever;1935-11-13
Elmo Key;Scrapland;1944-06-06
Craig Mccarthy;Sudden Strike 4;1928-03-17
Inez Mcneil;Persona 2: Eternal Punishment;1992-03-29
Linda Mays;The Vanishing of Ethan Carter;1993-09-06
Ezekiel Rowe;Europa Universalis IV: Wealth of Nations;1995-07-10
Bertha Morse;League of War: VR Arena;1940-04-15
Flynn French;Record of Agarest War;1934-04-03
Lee Bishop;LISA: The Painful;2002-09-28
Dorothy Park;The Walking Dead: Episode 2 - Starved for Help;2021-09-08
Luke Strickland;Bliss Island;1915-02-10
Simon Wilcox;Resident Evil 5: Lost in Nightmares;1903-10-28
Azalia Mckenzie;Creed: Rise to Glory;1936-04-02
Orson Vincent;The Temple of Elemental Evil;1963-02-12
Hanna Foster;FIFA Soccer 2003;1938-10-04
Lavinia Finch;Mario Sports Mix;1953-04-29
Rama Stuart;Friday the 13th: The Game;1943-11-24
Quemby Case;Tekken Revolution;1959-01-15
Zachary Palmer;Infested Planet;1933-11-09
Ursa Martin;Sumioni: Demon Arts;1998-12-22
Yasir Case;Dead Block;1922-05-07
Priscilla Hamilton;Giana Sisters: Twisted Dreams;1900-02-24
Ezra Franklin;Final Fantasy I & II: Dawn of Souls;2002-08-24
Jael Farrell;MLB The Show 20;1929-11-04
Marny Maddox;Original War;1916-04-16
Angelica Hardy;ArmA: Combat Operations;1924-08-16
Ronan Foreman;Marvel vs. Capcom 3: Fate of Two Worlds;1939-12-23
Dawn Shelton;Swarm;1940-01-14
Boris Galloway;UEFA EURO 2008;1960-02-20
Ivor Zimmerman;Star Control: Origins;1932-09-08
Orson Vincent;UEFA EURO 2008;1936-02-10
Devin Valentine;Smashing Drive;1983-02-01
Azalia Mckenzie;Masters of Anima;1908-10-26
Carlos Rose;Elli;1923-11-08
Aimee Hopper;Bush Hockey League;2002-05-14
Dorian Gaines;Pac-Man Championship Edition 2 Plus;1993-06-15
Clarke Davenport;Dante's Inferno;1957-02-12
Amy Harris;Okami HD;1986-05-18
Katelyn Lawrence;Leisure Suit Larry: Wet Dreams Don't Dry;2016-08-28
Pandora Bullock;Syphon Filter: Dark Mirror;1959-09-16
Nathaniel Lowery;RF Online;2001-03-18
Aurelia Stephenson;Pikmin 2;1914-02-13
Ivan O'Neill;Urban Trial Freestyle;1981-06-16
Winter Hampton;Toy Story 2: Buzz Lightyear to the Rescue!;2007-07-26
Cameron Mclaughlin;The Magic Circle;1990-03-02
Desiree Beach;Do Not Fall;1909-08-31
Jesse Goodwin;PlayStation Move Fitness;1985-06-25
Anastasia Caldwell;Tactics Ogre: Let Us Cling Together;1916-07-21
Abel Downs;The Sims 2: Castaway;1942-01-27
Priscilla Cervantes;Tethered;1985-04-23
Lunea Chen;Linelight;1924-07-20
Macaulay Burch;The Bradwell Conspiracy;1922-03-20
Hannah Wynn;Remnant: From the Ashes - Subject 2923;1979-05-22
Sophia Fletcher;Absolver;1952-07-15
Dorothy Park;Destiny 2;2004-02-28
Branden Watts;SUPERHOT VR;1964-02-25
Lael Olsen;Everyday Shooter;1998-01-12
Velma Stuart;Ancestors Legacy;1912-03-12
George Ferguson;The Elder Scrolls V: Skyrim - Dragonborn;1913-01-29
Samantha Landry;Metal Gear Rising: Revengeance;2006-07-21
Keane White;Blade Kitten;1967-06-26
Buffy Sweet;Resident Evil 0;2004-09-04
Britanney Hardin;Prince of Persia: The Sands of Time;1941-10-15
Devin Dunlap;NBA 2K13;1951-08-30
Howard Baird;They Bleed Pixels;1932-10-06
Lamar Mercado;Adventure Time: Pirates of the Enchiridion;1964-11-26
Megan Rosales;Thrillville;1964-05-05
Leilani Burton;Medal of Honor Rising Sun;1998-12-06
Axel Wood;The Inner World: The Last Wind Monk;1980-11-14
Denise Larsen;Sheltered;1946-02-26
Nehru Garrett;Time Machine VR;2004-11-25
Orla Perez;Dungeon Defenders;1984-06-25
Hammett Mcguire;Fallen Legion: Sins of an Empire;1946-08-10
Winter Hampton;The Darkness II;1912-07-10
Rosalyn Russell;ColorZ;1934-05-02
Yasir Case;God Wars: Future Past;1993-01-15
Vanna Morgan;Heretic Kingdoms: The Inquisition;1993-11-08
Griffin Whitney;Driveclub Bikes;1944-01-18
Heather Durham;World Championship Poker: Featuring Howard Lederer - All In;1912-08-11
Lucius Parrish;The Godfather II;2018-10-20
James Irwin;Super Mutant Alien Assault;1938-04-23
Olivia Love;Mugsters;1997-10-11
Vanna Phillips;R.U.S.E.;1972-04-10
Felix Mitchell;Call of Duty: Black Ops III;2006-03-23
Jared Gibson;Close to the Sun;2008-05-21
Neville Baxter;WinBack 2: Project Poseidon;1963-05-19
Yasir Case;Need for Speed ProStreet;1956-11-18
Akeem Vang;Guns of Icarus Alliance;1985-12-20
Lucian Anderson;The Path;2022-01-11
Guinevere Flynn;Bodycount;1931-02-24
Todd Roberson;007: Quantum of Solace;2006-06-05
Clementine Singleton;Tiny & Big: Grandpa's Leftovers;1934-09-27
Bethany Mills;007 Legends;1909-05-24
Kirsten Cooper;Pinball FX3;1959-09-16
Ursa Martin;Heroes of the Pacific;1942-05-24
Fitzgerald Berg;Carnival Games VR;1972-04-28
Adria Griffin;Night in the Woods;1923-05-06
Hu Huff;TimeSplitters 2;1986-02-03
Joel Justice;Runbow;1931-03-06
Lars Barron;Game of Thrones: Episode Two - The Lost Lords;1913-10-13
Nehru Garrett;Ecco the Dolphin: Defender of the Future;1904-08-21
Denise Johnson;Zoids Wild: Blast Unleashed;1950-02-23
Adria Griffin;Hearts of Iron II;1920-02-18
Devin Dunlap;Tales from the Borderlands: A Telltale Game Series;1920-06-03
Paloma Kirkland;3000th Duel;1922-07-26
Gage Gates;Ridge Racer Unbounded;1909-09-12
Denise Larsen;Wario Land: Shake It!;1943-04-23
Wesley Ayala;Justice League Heroes: The Flash;1989-05-19
Jasper Woodard;Brothers in Arms: Road to Hill 30;1965-10-18
Curran Aguilar;The King of Fighters '98 Ultimate Match;1962-03-09
Nigel Terry;Rainbow Skies;1937-10-25
Simon Wilcox;BlazBlue: Continuum Shift;1906-02-21
Maisie Conner;Spy Hunter: Nowhere to Run;2010-08-18
Orson Vincent;Inmost;1922-02-11
Shad Ayala;Desert Child;1985-01-11
Carly Hartman;Trailblazers;1975-09-29
Reed Poole;Greed Corp;1911-04-08
Ronan Chase;Super Mario Party;1957-08-20
Shad Ayala;Star Fox Adventures;2015-04-03
Moana Gamble;NBA Starting Five;1914-10-27
Dorothy Park;Skylanders Swap Force;1973-10-09
Shad Ayala;Mat Hoffman's Pro BMX 2;2001-10-23
Barry Burnett;A Robot Named Fight!;1934-08-08
Tad Albert;Tom Clancy's Ghost Recon Advanced Warfighter;1938-09-03
Daphne Meyer;Modern Combat: Blackout;1936-02-21
Nyssa Greene;WWE SmackDown vs. Raw 2009;1918-05-07
Keane Valdez;Ring of Red;2000-08-07
Garrett Gilmore;Cloud Chamber;1950-09-01
Buffy Wood;Boktai: The Sun Is in Your Hand;1976-06-27
Nolan Beck;Harry Potter and the Order of the Phoenix;1913-08-15
Nora Wright;Lego Star Wars II: The Original Trilogy;1957-02-11
Thor Meadows;Warriors Orochi 3 Ultimate;1968-10-25
Evelyn Burch;Incredible Crisis;1946-02-14
Amelia Irwin;Murasaki Baby;1927-12-31
Daphne Powers;CastleStorm;1975-03-08
Felix Parker;HAWKEN;1954-10-30
Demetria Webster;The Mummy Returns;1925-06-15
Aretha Carpenter;Assassin's Creed Odyssey;1999-10-15
Gretchen Mcknight;LEGO Dimensions;1940-04-18
Henry Osborne;Carrier Command: Gaea Mission;1968-10-22
Barclay Terrell;Kung-Fu Live;2002-03-17
Tamara Daugherty;Song of the Deep;1996-03-28
Xavier Dunn;Batman: Arkham Origins Blackgate - Deluxe Edition;1927-10-16
Sandra Baxter;La-Mulana EX;1913-04-23
Megan Rosales;Rugby World Cup 2011;1904-11-06
Gage Gates;MTV Sports: Pure Ride;1995-03-17
Amy Harris;Call of Duty: Roads to Victory;1995-10-08
Bruno Larsen;Guitar Hero III: Legends of Rock;1931-04-28
Stephanie Pacheco;Agatha Christie's The ABC Murders;1979-07-06
Demetrius Vang;Whiplash;1955-02-22
Evelyn Love;Cube;1902-01-25
Nehru Garrett;Tom Clancy's The Division 2;2010-01-23
Quemby Case;Deadlight: Director's Cut;1957-02-18
Branden Collins;IGI 2: Covert Strike;1911-08-17
Gloria Haney;Borderlands 3: Psycho Krieg and the Fantastic Fustercluck;1905-04-12
Jamal Shepherd;L.A. Noire: The Complete Edition;1910-12-22
Nola Church;Valhalla Hills;1996-06-14
Fuller Underwood;Fallout: Brotherhood of Steel;1945-08-14
Isabella Mckay;Game of Thrones: Episode One - Iron From Ice;1991-11-09
Faith Richard;Mini Ninjas;1964-12-06
Ulysses Hickman;Past Cure;1998-03-26
Cassady Merritt;Pac-Man Championship Edition DX +;1973-11-30
Ifeoma Bailey;Madden NFL 2004;1959-09-05
Ulysses Hickman;Stacking;1906-02-06
Forrest Ford;Rodea the Sky Soldier;1939-04-22
Upton Marks;Minority Report: Everybody Runs;1977-03-27
Inez Mcneil;Mega Man Zero Collection;1984-01-22
Mara Juarez;ARK: Survival Evolved;2010-04-28
Blaze Daniels;LEGO Marvel Super Heroes;1980-07-28
Bertha Rosario;Puzzle Chronicles;1982-09-07
Candice Atkins;DreadOut;1924-10-08
Basil Beach;Dead Rising;1934-03-24
Harriet Bush;NHL Hitz 20-03;1946-06-25
Carter Bryan;Tom Clancy's The Division 2;2003-07-22
Erin Whitney;Naughty Bear: Panic in Paradise;2005-01-08
Ora Figueroa;Call of Duty: Modern Warfare 2;1938-11-15
Kevin Crosby;Battleship;1955-10-23
Upton Marks;Pop-Up Pilgrims;1935-10-18
Hanna Foster;Hardcore Mecha;1908-10-17
Priscilla Hamilton;UEFA Euro 2012;2010-04-05
Nola Church;G.I. Joe: The Rise of Cobra;1980-05-05
Maite Chan;Hector: Badge of Carnage - Episode 3: Beyond Reasonable Doom;2007-07-16
Nathan Wong;Tycoon City: New York;1978-07-12
Jaden Acevedo;Inazuma Eleven 2: Firestorm;1952-06-15
Ralph Patton;Ghost Rider;2009-10-10
Gareth Edwards;Pro Evolution Soccer 2017;1925-02-19
Carlos Rose;Gray Matter;1931-09-30
Ivor Zimmerman;Portal Knights;2017-08-21
Joseph Reilly;EarthNight;1944-08-20
Jessamine O'brien;NBA Hoopz;1988-04-16
Carly Owen;Styx: Shards of Darkness;1971-05-13
Clementine Singleton;Pac-Pix;2016-09-10
Cyrus Flynn;Murder by Numbers;1961-06-17
Eaton Higgins;Swingerz Golf;2011-01-11
Joseph Reilly;Rogue Wizards;1911-06-20
Brooke Manning;SingStar Dance;1945-04-18
Upton Marks;Rayman 3 HD;1964-04-02
Ezekiel Rowe;Naruto Shippuden: Ultimate Ninja Storm 4 - Road to Boruto Expansion;2013-05-31
Raja Mcdowell;Assassin's Creed II: Discovery;1942-09-13
Cooper Benjamin;Groundhog Day: Like Father Like Son;2016-10-01
Kevin Crosby;GTR 2;1982-04-25
Violet Gordon;Street Fighter IV;1941-12-26
Kay Chambers;NBA Jam: On Fire Edition;1910-08-20
Holmes Fulton;WWE SmackDown vs. Raw 2009;1936-02-27
Rylee Lloyd;LawBreakers;2005-06-24
Pamela Harvey;MLB Slugfest 20-04;1928-09-30
Stone England;The Sting!;2004-12-11
Orson Vincent;Deep Sky Derelicts;1958-03-23
Maisie Conner;Stealth Inc: A Clone in the Dark;1989-07-19
Kevin Crosby;The Elder Scrolls V: Skyrim Special Edition;1931-06-20
Alan Cox;Jake Hunter: Detective Chronicles;1935-04-07
Denton Holmes;Falcon 4.0;1922-08-06
Zachary Palmer;Final Fantasy XV;1927-01-03
Marsden Blevins;Crysis 2;1980-04-11
Dawn Shelton;Dynasty Warriors 5: Xtreme Legends;1970-11-17
Allistair Atkinson;Rumble Racing;1986-03-22
Adena Cabrera;The Kings' Crusade;1957-12-27
Neve Hinton;Resident Evil 7: biohazard;1974-02-07
Honorato Olsen;Cradle;1990-05-05
Vanna Morgan;Command & Conquer: Generals;1942-12-10
Scott Mercer;Naruto Shippuden: Ultimate Ninja Storm 4;1939-11-02
Stephanie Pacheco;Puzzle Kingdoms;1996-08-31
Zachary Palmer;Asemblance;1925-05-30
Aladdin Buchanan;Mega Man X7;1997-12-19
Alan Beach;Multiwinia: Survival of the Flattest;1902-06-23
Serena Palmer;Scribblenauts Unmasked: A DC Comics Adventure;1911-09-25
Hadassah Wood;Urban Chaos: Riot Response;1968-04-10
Moana Gamble;Railway Empire: Switch Edition;1929-01-04
Alfonso Faulkner;The Wizards;1917-02-28
Addison Valdez;Assassin's Creed: Revelations;1953-05-08
Kimberley Cannon;Harry Potter and the Order of the Phoenix;1949-04-05
Oscar Donovan;ATV Quad Power Racing 2;1907-04-13
Vanna Phillips;Final Fantasy XI;1951-12-23
Maryam Chan;Shadow Warrior;1942-01-06
Boris Hurst;Riviera: The Promised Land;1939-10-01
Leilani Stein;MTX Mototrax;1998-09-11
Xavier Hartman;The Cursed Crusade;1969-10-25
Kylie Sellers;Ninja Gaiden Sigma;1938-11-01
Boris Galloway;Snoopy vs. the Red Baron;1951-11-07
Charde Salinas;God of War III Remastered;1904-04-22
Bert Cantrell;Aliens: Infestation;1926-08-07
Olivia Burris;WWF Raw;1909-05-16
Zena Bright;Inuyasha: Feudal Combat;1914-04-08
Maia Vincent;Mutant Mudds;1999-07-07
Felix Mitchell;FIFA World Cup: Germany 2006;2010-02-08
Yuri Kinney;Bust A Groove 2;1975-01-19
Yuli Gibson;Hotline Miami 2: Wrong Number;2018-11-30
Francis Hodge;Warcraft III: Reign of Chaos;2012-06-24
Lilah Campos;Makai Kingdom: Chronicles of the Sacred Tome;1932-02-14
Dawn Shelton;Rocket League;2011-12-28
Ronan Chase;Gateways;1906-02-28
Candice Jimenez;Republique: Episode 4 - God's Acre;1910-09-06
Ezekiel Rowe;Venetica;1974-01-14
Branden Collins;Condemned: Criminal Origins;1935-12-08
Hammett Mcguire;Evergate;1915-10-13
Quamar Roy;The Denpa Men 3: The Rise of Digitoll;1929-04-12
Raphael Puckett;Eagle Eye Golf;1959-04-14
Cyrus Duran;SpellForce 2: Demons of the Past;2014-11-25
Denise Johnson;FIFA 07 Soccer;1983-03-14
Callum Barron;ESPN Winter X-Games Snowboarding;1927-03-22
Alyssa Stein;Spec Ops: The Line;1925-10-06
Keefe Morin;Enchanted Arms;1912-06-24
Maia Fitzpatrick;Samurai Warriors: State of War;1920-05-07
Abel Allison;Dark Void Zero;1918-04-26
Bruno Larsen;Tamagotchi Connection: Corner Shop;2008-08-24
Jolie Baxter;Attack on Titan;1988-01-14
Faith Richard;Dungeon Lords;2011-02-12
Samson Gibson;Dead Reefs;1932-08-07
Chadwick Daniel;Aces of the Luftwaffe: Squadron;1949-07-08
Skyler Hobbs;Zero D Beat Drop;1904-08-24
Jessica Hudson;NCAA College Basketball 2K3;2007-01-25
Cooper Benjamin;The Darkness II;1926-12-30
Brendan Vaughan;Knights in the Nightmare;2012-02-08
Maisie Hodge;Harry Potter for Kinect;1976-03-24
Sean Collins;Dragon Rage;1975-01-23
Drew Walton;MadWorld;1989-01-29
Hector Stark;NBA Hoopz;1971-03-12
Paloma Miranda;The Last of Us;1917-06-19
Moana Gamble;Silent Hill: Homecoming;1959-06-29
Joel Justice;Sword of the Stars: Born of Blood;1916-04-21
Sean Collins;Dark Souls III: Ashes of Ariandel;1924-01-23
Silas Fisher;Super Hydorah;1923-12-01
Nolan Beck;Insecticide: Episode 1;1938-06-23
Jamal Shepherd;Final Fantasy XIV: Heavensward;1953-04-07
Eaton Higgins;Warface;2017-11-10
Jillian Ellis;Pirates of the Caribbean: Dead Man's Chest;2022-11-30
Raphael Meyers;Roogoo Attack;1956-08-07
Kimberly Michael;Batman: The Telltale Series - Episode 4: Guardian of Gotham;2007-10-31
Simon Cooke;Roving Rogue;1946-11-13
Cameron Johnson;NBA 2K2;2009-04-02
Heather Durham;Legend of Kay Anniversary;1927-08-01
Neve Anderson;Disney's Stitch: Experiment 626;1988-01-13
Joy French;City Life 2008 Edition;2012-10-18
Blaze Daniels;SteamWorld Dig: A Fistful of Dirt;2015-11-08
Bertha Rosario;Fossil Fighters;1972-09-02
Marsden Blevins;Test Drive;1968-07-26
Rylee Lloyd;Duel Masters: Kaijudo Showdown;1985-05-09
Meghan Bullock;inFamous: First Light;1991-05-03
Adrienne Burnett;Titan Souls;2001-03-24
Cassady Merritt;Shantae and the Seven Sirens;1951-12-19
Brooke Wallace;DEXED;1917-03-29
